item_id,length_cm,price_inr,weight_norm
1,21.9,15.08,14
2,47.8,108.61,475
3,37.9,110.42,101
4,31.9,129.3,179
5,12.0,146.59,326
6,12.0,195.29,31
7,7.6,105.68,414
8,44.0,67.98,335
9,32.1,160.06,10
10,36.9,57.81,142
11,5.9,90.6,242
12,48.6,20.3,21
13,42.5,9.94,355
14,14.6,192.72,55
15,13.2,168.02,43
16,13.3,140.71,442
17,18.7,84.75,87
18,28.6,38.79,227
19,24.4,35.51,310
20,18.1,53.8,420
21,32.5,112.1,82
22,11.3,144.35,291
23,18.1,133.74,258
24,21.5,59.59,56
25,25.5,191.2,130
26,40.3,148.89,223
27,14.0,113.1,248
28,28.1,124.29,65
29,31.7,86.82,359
30,7.1,53.31,116
31,32.3,74.41,328
32,12.7,152.78,57
33,7.9,7.81,70
34,47.7,27.63,346
35,48.5,13.97,35
36,41.4,12.94,301
37,18.7,171.81,266
38,9.4,142.21,17
39,35.8,97.46,122
40,24.8,24.08,364
41,10.5,100.87,262
42,27.3,97.33,189
43,6.5,38.77,216
44,45.9,89.6,312
45,16.6,82.71,136
46,34.8,125.09,65
47,19.0,128.84,223
48,28.4,13.83,23
49,29.6,78.05,483
50,13.3,127.04,37
51,48.6,103.11,480
52,39.9,172.02,87
53,47.3,133.45,225
54,45.3,36.77,395
55,31.9,18.76,374
56,46.5,130.27,163
57,9.0,10.17,23
58,13.8,119.23,196
59,7.0,188.34,321
60,19.6,117.22,380
61,22.5,80.69,16
62,17.2,130.44,12
63,42.3,94.36,120
64,21.1,111.4,416
65,17.6,188.59,247
66,29.4,80.29,372
67,11.3,192.43,248
68,41.1,181.54,283
69,8.4,43.18,303
70,49.4,18.53,236
71,39.8,24.65,380
72,13.9,8.55,24
73,5.2,23.42,201
74,41.7,138.19,482
75,36.8,18.88,128
76,37.8,67.2,494
77,39.7,169.75,37
78,8.3,9.54,211
79,21.1,163.82,48
80,10.2,59.96,450
81,43.8,28.04,282
82,33.0,140.86,240
83,19.9,127.64,95
84,7.9,176.11,483
85,19.0,148.34,135
86,19.6,161.68,309
87,37.8,60.0,34
88,33.7,39.6,154
89,44.9,151.37,22
90,26.2,162.33,221
91,10.4,198.15,34
92,37.1,85.46,77
93,39.2,77.54,403
94,30.3,156.4,76
95,39.7,71.46,242
96,27.2,186.5,118
97,28.5,172.39,155
98,24.2,88.65,120
99,6.1,151.42,237
100,9.9,152.14,120
101,6.4,25.11,479
102,33.6,181.0,43
103,19.1,103.52,120
104,27.9,166.16,273
105,45.8,67.41,433
106,16.2,179.63,378
107,23.5,80.89,245
108,39.0,7.11,92
109,15.3,181.55,51
110,8.5,22.8,434
111,18.0,67.27,110
112,12.3,190.26,15
113,46.8,190.37,189
114,41.4,116.82,291
115,33.5,128.21,329
116,44.2,92.45,235
117,41.2,62.18,452
118,13.4,69.09,449
119,45.2,136.14,324
120,29.3,151.71,374
121,41.3,159.36,463
122,45.3,158.98,238
123,19.3,22.79,386
124,10.0,101.41,298
125,15.3,16.22,446
126,24.2,112.16,159
127,41.8,91.1,286
128,43.7,178.1,207
129,5.3,73.43,79
130,28.0,27.83,121
131,23.8,32.88,13
132,15.0,153.49,359
133,10.4,125.55,340
134,20.2,24.72,455
135,47.4,21.4,327
136,19.5,141.69,359
137,28.3,19.19,104
138,36.6,165.26,161
139,21.4,142.72,320
140,48.7,20.86,146
141,48.3,21.54,256
142,16.3,197.39,396
143,27.4,77.98,252
144,18.5,77.28,40
145,17.8,163.5,49
146,6.7,189.71,238
147,32.4,197.27,45
148,27.6,151.91,417
149,7.3,78.37,232
150,17.5,21.28,15
151,45.9,156.54,331
152,15.8,113.89,477
153,11.5,87.72,229
154,27.0,181.74,84
155,49.4,26.68,13
156,15.9,101.06,344
157,35.2,7.21,143
158,39.3,96.39,127
159,15.7,15.98,378
160,37.8,28.17,103
161,21.6,27.92,495
162,33.5,131.6,444
163,33.5,150.48,71
164,29.1,118.76,450
165,9.1,192.62,203
166,42.6,78.1,344
167,19.4,60.71,212
168,13.4,174.38,401
169,6.8,48.6,35
170,31.6,192.83,444
171,35.5,7.37,182
172,5.7,194.13,309
173,28.0,13.42,142
174,15.2,178.77,335
175,34.0,107.9,419
176,12.8,198.63,127
177,36.1,19.39,333
178,22.4,113.0,284
179,47.2,194.01,221
180,11.2,107.0,234
181,20.3,127.73,29
182,10.1,140.67,122
183,46.6,93.64,149
184,44.5,127.37,56
185,16.6,118.94,10
186,34.7,180.73,99
187,41.8,13.86,151
188,30.0,59.79,329
189,28.8,190.33,47
190,15.9,178.6,302
191,9.2,93.85,391
192,45.4,125.93,148
193,45.5,59.09,365
194,33.5,41.68,342
195,20.3,95.42,268
196,20.7,73.9,170
197,37.7,118.81,399
198,45.4,20.16,187
199,44.9,195.01,19
200,40.1,197.31,270
201,33.9,141.14,416
202,8.8,109.54,147
203,12.3,65.36,181
204,45.4,163.69,395
205,32.3,138.52,22
206,5.4,36.71,177
207,9.6,182.63,139
208,34.9,165.39,93
209,5.2,190.21,330
210,12.2,146.52,328
211,29.7,124.62,110
212,36.1,86.56,338
213,34.3,186.88,282
214,15.1,173.88,274
215,37.0,13.82,468
216,15.7,10.14,408
217,19.6,78.41,417
218,38.6,163.06,47
219,34.2,197.52,428
220,43.2,34.33,103
221,34.6,120.86,104
222,30.6,79.27,314
223,9.2,194.13,78
224,21.5,169.21,327
225,16.9,168.47,453
226,16.0,96.4,245
227,48.8,85.89,443
228,22.7,58.31,343
229,45.1,15.99,382
230,33.4,173.62,385
231,40.8,163.52,468
232,27.6,199.94,146
233,31.0,199.34,427
234,27.2,113.31,85
235,13.8,154.95,492
236,37.5,189.23,44
237,17.6,170.68,10
238,6.1,53.23,305
239,34.0,92.86,329
240,13.0,30.19,415
241,47.3,191.04,69
242,47.9,123.2,329
243,46.2,49.59,358
244,21.7,135.98,337
245,5.7,125.54,276
246,46.8,74.84,370
247,24.3,27.14,238
248,48.5,135.96,279
249,48.4,106.46,325
250,43.4,155.6,295
251,18.3,106.43,300
252,22.3,171.18,222
253,43.3,112.62,174
254,19.3,114.38,14
255,12.6,175.95,348
256,30.1,83.68,388
257,47.1,31.13,87
258,36.3,10.61,419
259,30.7,152.25,71
260,9.4,125.96,141
261,32.7,142.3,98
262,49.6,46.53,246
263,11.3,31.59,51
264,28.3,7.84,98
265,44.5,73.36,411
266,38.3,120.03,305
267,36.4,81.49,337
268,36.6,90.31,304
269,21.2,181.31,113
270,18.2,72.91,23
271,41.4,105.23,297
272,41.5,157.81,188
273,44.0,82.33,134
274,46.1,126.31,431
275,28.0,173.16,362
276,27.6,190.16,32
277,40.9,33.68,72
278,34.2,185.68,152
279,36.6,100.96,490
280,40.8,55.36,162
281,45.1,94.53,154
282,20.2,196.11,234
283,21.9,101.06,459
284,9.2,69.11,471
285,31.0,128.51,318
286,6.6,51.83,113
287,26.0,19.79,113
288,29.4,30.13,444
289,17.9,29.97,48
290,31.6,34.62,444
291,6.4,32.07,207
292,6.7,129.97,143
293,42.0,40.47,76
294,21.2,72.41,400
295,10.7,179.87,188
296,28.5,97.42,465
297,39.6,135.17,51
298,14.7,38.6,457
299,33.0,42.5,24
